id,time_observed_at,user_id,created_at,quality_grade,license,url,tag_list,description,latitude,longitude,scientific_name,common_name,iconic_taxon_name
109182393,2022-03-21 20:57:50 UTC,4033819,2022-03-21 23:02:50 UTC,research,CC-BY,https://www.inaturalist.org/observations/109182393,"",,-30.9739609298,-56.8541809916,Tachymenis ocellata,,Reptilia
109182621,2022-03-21 21:52:09 UTC,4033819,2022-03-21 23:05:10 UTC,research,CC-BY,https://www.inaturalist.org/observations/109182621,"",,-30.9821246202,-56.8618504331,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
109236606,2022-03-20 20:35:00 UTC,5141848,2022-03-22 17:30:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/109236606,"",,-34.54829,-54.1038169722,Galictis cuja,Hurón,Mammalia
109282147,2022-03-22 20:58:45 UTC,4096291,2022-03-23 13:22:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/109282147,"",,-34.6685693527,-54.237799421,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
109403558,2022-03-24 18:14:57 UTC,4033819,2022-03-24 21:21:49 UTC,research,CC-BY,https://www.inaturalist.org/observations/109403558,"",,-31.007829645,-56.879745461,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
109843671,2022-03-29 15:27:46 UTC,4033819,2022-03-29 15:56:00 UTC,research,CC-BY,https://www.inaturalist.org/observations/109843671,"",,-30.9993048943,-56.8704710528,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
109921414,2022-03-30 14:00:35 UTC,2724995,2022-03-30 14:09:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/109921414,"","",-33.6409835696,-54.2711773882,Leopardus geoffroyi,Gato Montés,Mammalia
110055873,2022-03-31 14:18:08 UTC,4033819,2022-04-01 01:26:29 UTC,research,CC-BY,https://www.inaturalist.org/observations/110055873,"",,-30.9994043311,-56.8760852516,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
110395181,2022-04-02 12:19:07 UTC,4033819,2022-04-04 14:21:10 UTC,research,CC-BY,https://www.inaturalist.org/observations/110395181,"","Encontrada al lado de la ruta 4, Artigas.",-31.0278260791,-56.8914469332,Dasypus septemcinctus,Armadillo de siete bandas,Mammalia
110498377,2022-04-05 15:16:23 UTC,4033819,2022-04-05 16:40:57 UTC,research,CC-BY,https://www.inaturalist.org/observations/110498377,"",,-30.9993048943,-56.8704710528,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
110738411,2022-04-07 12:27:13 UTC,1417397,2022-04-08 10:12:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/110738411,"",,-32.5125782,-54.1251499997,Leopardus geoffroyi,Gato Montés,Mammalia
110798125,2022-04-08 20:36:54 UTC,4033819,2022-04-08 23:43:00 UTC,research,CC-BY,https://www.inaturalist.org/observations/110798125,"",,-30.9521308399,-56.8339464068,Philodryas patagoniensis,Culebra del Pastizal,Reptilia
110799973,2022-04-07 20:45:52 UTC,4033819,2022-04-09 00:05:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/110799973,"",,-30.9656944819,-56.8464853987,Micrurus altirostris,Coralillo uruguaya,Reptilia
110800188,2022-04-06 19:47:32 UTC,4033819,2022-04-09 00:08:40 UTC,research,CC-BY,https://www.inaturalist.org/observations/110800188,"",,-30.9844017053,-56.8638704717,Erythrolamprus poecilogyrus,Culebra verde y amarilla,Reptilia
111337353,2022-04-13 14:10:40 UTC,4033819,2022-04-13 19:08:09 UTC,research,CC-BY,https://www.inaturalist.org/observations/111337353,"",,-30.9766820458,-56.8567096442,Tachymenis ocellata,,Reptilia
111337945,2022-04-12 23:44:37 UTC,4033819,2022-04-13 19:13:19 UTC,research,CC-BY,https://www.inaturalist.org/observations/111337945,"",,-31.0085242016,-56.8801058829,Tachymenis ocellata,,Reptilia
