Punto,Fecha,Hora,Especie,N,Observaciones
LR01_1,11-12-20,07:07:00,L. gymnocercus,1,F. rufus
LR01_1,11-12-20,07:09:00,L. gymnocercus,1,cachorro cola negra
LR01_1,11-12-20,17:11:00,L. gymnocercus,1,cachorro cola negra
LR01_1,11-12-20,23:48:00,L. gymnocercus,1,
LR01_1,12-12-20,08:27:00,L. gymnocercus,3,"3 ind, madre con los 2 cachorros"
LR01_1,12-12-20,09:02:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,12-12-20,13:03:00,L. gymnocercus,1,cola fina
LR01_1,12-12-20,18:52:00,L. gymnocercus,1,cachorro cola negra
LR01_1,12-12-20,20:38:00,C. chinga,1,
LR01_1,12-12-20,21:20:00,L. gymnocercus,1,con presa en la boca
LR01_1,12-12-20,21:54:00,L. gymnocercus,1,
LR01_1,13-12-20,02:53:00,L. gymnocercus,1,con presa en la boca
LR01_1,13-12-20, 6:19,L. gymnocercus,2,adulto y cachorro cola negra
LR01_1,13-12-20,08:01:00,L. gymnocercus,2,cachorro cola negra investigando el lugar
LR01_1,13-12-20,20:06:00,L. gymnocercus,1,
LR01_1,14-12-20,07:44:00,L. gymnocercus,1,cachorro cola negra
LR01_1,14-12-20,08:20:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,15-12-20,06:49:00,L. gymnocercus,1,
LR01_1,15-12-20,08:07:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,15-12-20,09:01:00,L. gymnocercus,1,cachorro
LR01_1,16-12-20,08:30:00,L. gymnocercus,1,cachorro
LR01_1,16-12-20,08:37:00,L. gymnocercus,3,3 ind. 4 mins. Pasa hembra con mamas inflamadas y luego otro ind. Éste se sienta y viene cachorro cola negra
LR01_1,16-12-20,12:19:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,16-12-20,17:17:00,L. gymnocercus,1,cola fina
LR01_1,16-12-20,20:23:00,C. chinga,1,
LR01_1,17-12-20,04:57:00,C. thous,1,
LR01_1,17-12-20,08:39:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,17-12-20,14:23:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,17-12-20,18:38:00,L. gymnocercus,1,
LR01_1,17-12-20,19:35:00,L. gymnocercus,1,
LR01_1,17-12-20,20:00:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,17-12-20,21:08:00,L. gymnocercus,1,
LR01_1,18-12-20,02:11:00,L. gymnocercus,1,cola fina
LR01_1,18-12-20,02:34:00,L. gymnocercus,1,cola fina
LR01_1,18-12-20,02:54:00,L. gymnocercus,1,Cola fina con presa en la boca.
LR01_1,18-12-20,03:10:00,L. gymnocercus,1,
